player_id,draft_year,name,page_start,page_end,rank,rank_range,grade,position,handedness,height_text,height_cm,weight_kg,birth_date,shades_of,badges,profile_summary,profile_text_chars,extraction_warnings,source,source_id,source_url
2025-001-matthew-schaefer,2025,Matthew Schaefer,29,29,1,1 - 2,A,D,L,6’1.75”,187,83,2007-09-05,Miro Heiskanen,Ace; Engine Fleet of Foot Transition,An overwhelmingly skilled and dynamic play-driving talent with unmatched developmental runway; all the makings of a franchise-altering No. 1 defenceman in the NHL.,1995,,eliteprospects_pdf,2025-ep-pdf-page-29,Draft25.pdf#page=29
2025-002-michael-misa,2025,Michael Misa,47,47,2,1 - 2,A,CLW,L,6’0.75”,185,83,2007-02-16,Macklin Celebrini,Engine Vision Chess; Master,"A dynamic, play-driving dual-threat scoring centre with exceptional details, contact skills, and machine-like motor. One of the most well-rounded forwards to come out of the OHL in years.",1922,,eliteprospects_pdf,2025-ep-pdf-page-47,Draft25.pdf#page=47
2025-006-porter-martone,2025,Porter Martone,64,64,3,1 - 5,A,RW,R,6’2.75”,190,94,2006-10-26,"Blake Wheeler, Mikko Rantanen",Brain; Finisher; Vision Clinical,A special talent whose passing vision and tactical genius could put him up amongst the NHL’s elite playmakers – a unique combination of hard and soft skills with top-line upside.,2047,,eliteprospects_pdf,2025-ep-pdf-page-64,Draft25.pdf#page=64
2025-007-james-hagens,2025,James Hagens,86,86,4,4 - 9,A,C,L,5’10.5”,179,80,2006-11-03,"Logan Cooley, Jack Hughes",Ace; Transition; Vision Ankle Breaker,"Dynamic skating, handling, and a full scoring arsenal could make the former No. 1 overall favourite a steal — if he returns to his play-driving ways.",2045,,eliteprospects_pdf,2025-ep-pdf-page-86,Draft25.pdf#page=86
2025-010-roger-mcqueen,2025,Roger McQueen,104,104,5,4 - 9,A,C,R,6’5.25”,196,89,2006-10-02,Evgeni Malkin,Ankle; Breaker; Sniper Vision,"A power centre with highlight-reel handling skill, a sniper’s release, playmaking ability, and defensive impact, but repeated injuries make him the draft’s biggest risk.",2048,,eliteprospects_pdf,2025-ep-pdf-page-104,Draft25.pdf#page=104
2025-014-jackson-smith,2025,Jackson Smith,114,114,6,4 - 9,A,D,L,6’3.25”,191,88,2007-05-13,"Thomas Harley, Travis Sanheim",Evasive Play Killer Toolsy,"A dynamic offensive creator, explosive four-way mover, physical shutdown presence, and more all in the same skill set. All roads lead to the NHL, but which pathway will he take?",1729,,eliteprospects_pdf,2025-ep-pdf-page-114,Draft25.pdf#page=114
2025-004-caleb-desnoyers,2025,Caleb Desnoyers,127,127,7,6 - 12,A,C,L,6’1.5”,187,81,2007-04-11,Sean Couturier,Hammer; Master; Vision Chess,"A detailed 200-foot centre with a hard-nosed net-front game, deceptive open-ice playmaking, and flashes of a power forward game. More pace is required.",2063,,eliteprospects_pdf,2025-ep-pdf-page-127,Draft25.pdf#page=127
2025-013-carter-bear,2025,Carter Bear,144,144,8,7 - 12,A,LW,L,6’0”,183,81,2006-11-04,"Seth Jarvis, Brandon Hagel",Finisher; Got That Bear; Vision Clinical; in Him,"Perhaps the most intense competitor in the draft, he’s fearless, physical, and always making something happen — and he’s one of the top playmakers available, too.",2072,,eliteprospects_pdf,2025-ep-pdf-page-144,Draft25.pdf#page=144
2025-016-victor-eklund,2025,Victor Eklund,154,154,9,7 - 12,A,RWLW,R,5’11”,180,73,2006-10-03,"Seth Jarvis, Travis Konecny",Got That Dog; In Him; Vision Fearless,A highly translatable and skilled winger with one of the best motors in the draft and a physical game that supersedes his size; a strong bet to become a top-six NHL contributor.,2109,,eliteprospects_pdf,2025-ep-pdf-page-154,Draft25.pdf#page=154
2025-008-jake-o-brien,2025,Jake O’Brien,173,173,10,6 - 16,A,C,R,6’1.75”,187,78,2007-06-16,Dylan Strome,Ankle; Breaker; Master; Vision Chess,"A deceptive and smooth playmaker with high-end vision, a detailed approach, and lots of physical runway left. Improved pace could make him a top-six centre.",2044,,eliteprospects_pdf,2025-ep-pdf-page-173,Draft25.pdf#page=173
2025-019-justin-carbonneau,2025,Justin Carbonneau,188,188,11,8 - 14,A,RW,R,6’1”,185,87,2006-11-25,Filip Forsberg,Ankle Breaker Toolsy Clinical; Finisher,"A highlight reel creator with top-of-class tools and the mindset to be a difference-maker. Decision-making needs work, but the top- six upside is clear.",2037,,eliteprospects_pdf,2025-ep-pdf-page-188,Draft25.pdf#page=188
2025-005-brady-martin,2025,Brady Martin,204,204,12,8 - 14,A,C,R,6’0”,183,81,2007-03-16,Sam Bennett,Fearless; Freight Train Chess; Master,A one-of-a-kind manipulative playmaker who overwhelms opponents with monster forechecking ability and bone-crushing hits. Top-six NHL outcome hinges on skating development.,1855,,eliteprospects_pdf,2025-ep-pdf-page-204,Draft25.pdf#page=204
2025-003-anton-frondell,2025,Anton Frondell,218,218,13,8 - 18,A,C,L,6’1”,185,90,2007-05-07,"Bo Horvat, Anders Lee, Brock Nelson",Tactician Sniper Hammer,An overpowering two-way forward with a high-end release and off-puck instincts around the slot; upside hinges on play-driving and playmaking skill.,2069,,eliteprospects_pdf,2025-ep-pdf-page-218,Draft25.pdf#page=218
2025-027-lynden-lakovic,2025,Lynden Lakovic,241,241,14,10 - 14,A,LWRW,L,6’4.25”,194,86,2006-12-12,"Quinton Byfield, Dylan Cozens",Vision Sniper Toolsy,A fluid mover with dual-threat scoring and masterful control of the game. Few prospects evolve as much he has — physicality is the next step.,1880,,eliteprospects_pdf,2025-ep-pdf-page-241,Draft25.pdf#page=241
2025-009-radim-mrtka,2025,Radim Mrtka,253,253,15,12 - 17,A,D,R,6’5.75”,197,94,2007-06-09,Marcus Pettersson,Play Killer Vision Motor,"A towering minute-eating defenceman on track to become an NHLer. He has top-four skill, sense, and pace some nights, but he’ll have to find them every night to maintain effectiveness.",1921,,eliteprospects_pdf,2025-ep-pdf-page-253,Draft25.pdf#page=253
